"ISBN","Book-Title","Book-Author","Year-of-Publication","Publisher","Quantity"
"0316781460","Live from New York: An Uncensored History of Saturday Night Live","Tom Shales","2002","Little, Brown","50"
"8466610685","El Psicoanalista","John Katzenbach","2003","Ediciones B","41"
"0425188787","Hunting Season (Anna Pigeon Novels (Paperback))","Nevada Barr","2003","Berkley Publishing Group","70"
"0345382323","The PMS Outlaws : An Elizabeth MacPherson Novel","Sharyn McCrumb","2001","Bantam Books","68"
"0312983298","Full Speed (Janet Evanovich's Full Series)","Janet Evanovich","2003","St. Martin's Paperbacks","62"
"0553270249","Death on Deadline","Robert Goldsborough","1988","Bantam Books","37"
"0553275852","The Monkey's Raincoat","ROBERT CRAIS","1992","Crimeline","84"
"0440201330","Five Bells and Bladebone","Martha Grimes","1993","Dell Publishing Company","21"
"0449147398","Wildest Dreams","Jennifer Blake","1993","Ivy Books","73"
"0747546215","The Tulip","Anna Pavord","2000","Bloomsbury","28"
"0006513409","The making of Minty Malone","Isabel Wolff","1999","HarperCollins","90"
"0312980345","Second Thyme Around","Katie Fforde","2002","St. Martin's Paperbacks","91"
"0743437640","The Mulberry Tree","Jude Deveraux","2003","Pocket","27"
"1551668912","Thursday'S At Eight","Debbie Macomber","2002","Mira","10"
"0688009387","The Blue Sword","Robin McKinley","1982","Greenwillow","69"
"0380017601","Love Story","Erich Segal","2002","HarperTorch","22"
"0671024418","City of the Dead (Resident Evil #3)","S.D. Perry","1999","Pocket","99"
"067102440X","CALIBAN COVE: RESIDENT EVIL #2","S.D. Perry","1998","Pocket","97"
"0671024426","Underworld  (Resident Evil #4)","S.D. Perry","1999","Pocket","79"
"0671024396","The UMBRELLA CONSPIRACY: RESIDENT EVIL #1","S.D. Perry","1998","Pocket","71"
"0140346848","The Not-So-Jolly Roger (Time Warp Trio)","Jon Scieszka","1993","Puffin Books","23"
"0140346031","Knights of the Kitchen Table (Time Warp Trio)","Jon Scieszka","1994","Puffin Books","68"
"0613286626","Summer Reading Is Killing Me (Time Warp Trio (Library))","Jon Scieszka","2001","Sagebrush Bound","77"
"0553568051","The Curious Eat Themselves","John Straley","1995","Bantam Books","57"
"042515601X","Acts of War (Tom Clancy's Op Center (Paperback))","Tom Clancy","1997","Berkley Publishing Group","22"
"0333782259","The Creative Writing Coursebook: Forty Authors Share Advice and Exercises for Fiction &amp; Poetry","Julia Bell","2001","Pan Macmillan","59"
"0435120964","New Windmills: To Kill a Mockingbird (New Windmills)","Harper Lee","1996","Heinemann Educational Books - Secondary Division","11"
"0140293442","Fever Pitch","Nick Hornby","2000","Penguin Books Ltd","76"
"0571097103","Whitsun Weddings","Philip Larkin","1964","Faber &amp; Faber","58"
"0140293469","High Fidelity","Nick Hornby","2000","Penguin Books Ltd","38"
"0920668372","Love You Forever","Robert N. Munsch","1986","Firefly Books Ltd","83"
"0375703861","White Teeth: A Novel","Zadie Smith","2001","Vintage Books USA","69"
"0060391537","Quivers: A Life","Robin Quivers","1995","Harpercollins","87"
"0156011042","East of the Mountains (Vintage Contemporaries (Paperback))","David Guterson","2000","Harvest Books","62"
"0812566637","Legends: Short Novels by the Masters of Modern Fantasy, Vol. 1","Robert Silverberg","1999","Tor Books","10"
"0060391448","Wicked : The Life and Times of the Wicked Witch of the West","Gregory Maguire","1995","HarperCollins","47"
"0684829975","The Vision of Emma Blau","Ursula Hegi","2000","Simon &amp; Schuster","20"
"0451099648","Firestarter (Signet Book)","Stephen King","1981","New Amer Library","46"
"0671776975","A RIVER RUNS THROUGH IT AND OTHER STORIES : AND OTHER STORIES","Norman Maclean","1992","Pocket","95"
"0440967694","The Outsiders","S. E. Hinton","1993","Learning Curve","13"
"0060801115","Death Be Not Proud a Memoir","John Gunther","0","Harper Row","29"
"0553149660","The Catcher in the Rye","J. D. Salinger","0","Bantam Books","46"
"0425152251","Sophie's World: A Novel About the History of Philosophy","Jostein Gaarder","1996","Berkley Publishing Group","12"
"0312924585","Silence of the Lambs","Thomas Harris","1991","St. Martin's Press","37"
"0684718634","Cry the Beloved Country","Alan Paton","1990","Simon Schuster Trade","90"
"0385479565","The Hot Zone","Richard Preston","1995","Anchor","87"
"0876056354","Snakes: Their Care and Keeping","Lenny Flank","1998","Howell Books","40"
"0375714383","Born Free: A Lioness of Two Worlds","Joy Adamson","2000","Pantheon Books","15"
"0441718213","The Revenants","Sheri S. Tepper","1984","Ace Books","83"
"0385499094","Akhenaten : Dweller in TruthA Novel","Naguib Mahfouz","2000","Anchor Pub","72"
"0743421574","Shanghai Baby : A Novel","Wei Hui","2002","Washington Square Press","61"
"0140132708","Midnight's Children","Salman Rushdie","1995","Penguin Books","51"
"0312309295","Some Days There's Pie: A Novel","Catherine Landis","2003","St. Martin's Press","40"
"0671578103","Dragonne's Eg","Mary Brown","1999","Baen","58"
"0756401364","Long Hot Summoning (The Keeper's Chronicles, Number 3)","Tanya Huff","2003","Daw Books","11"
"0886779758","The Second Summoning (The Keeper's Chronicles, No 2)","Tanya Huff","2001","Daw Books","10"
"1931561230","Sleep Toward Heaven: A Novel","Amanda Eyre Ward","2003","MacAdam/Cage Publishing","16"
"0807085464","Lost Woods: The Discovered Writing of Rachel Carson","Rachel Carson","1998","Beacon Press","22"
"0060504072","Small Wonder: Essays","Barbara Kingsolver","2002","HarperCollins","52"
"0345460952","The Salmon of Doubt","DOUGLAS ADAMS","2003","Ballantine Books","87"
"0312274920","Round Ireland With a Fridge","Tony Hawks","2001","St. Martin's Press","75"
"0007134495","Parzival and the Stone from Heaven: A Grail Romance Retold for Our Time","Lindsay Clarke","2002","Thorsons Publishers","15"
"0440408903","The Remarkable Journey of Prince Jen","Lloyd Alexander","1993","Yearling","73"
"038081658X","The Fresco","Sheri S. Tepper","2002","Eos","79"
"0380791978","The Family Tree","Sheri S. Tepper","1998","Eos","81"
"0345397800","The Cheetah Chase","Karin McQuillan","1995","Fawcett Books","40"
"0345409671","Memnoch the Devil (Vampire Chronicles, No 5)","Anne Rice","1997","Ballantine Books","35"
"0441007392","Through Alien Eyes","Amy Thomson","2000","Ace Books","44"
"0441006329","The Color of Distance","Amy Thomson","1999","Ace Books","66"
"0380791986","Six Moon Dance","Sheri S. Tepper","1999","Eos","85"
"0886771544","Lythande","Marion Zimmer Bradley","1986","Daw Books","54"
"0312974485","The Samurai's Wife (A Sano Ichiro Mystery)","Laura Joh Rowland","2001","St. Martin's Paperbacks","10"
"0312979584","Black Lotus (A Sano Ichiro Mystery)","Laura Joh Rowland","2002","St. Martin's Paperbacks","20"
"0553380958","Snow Crash (Bantam Spectra Book)","NEAL STEPHENSON","2000","Bantam","16"
"0756400805","The Book of Air (Dragon Quartet)","Marjorie B. Kellogg","2003","Daw Books","47"
"0886779014","The Book of Fire (Kellogg, M. Bradley. Dragon Quartet, V. 3.)","Marjorie B. Kellogg","2000","Daw Books","49"
"0886776880","The Book of Water (Daw Book Collectors)","Marjorie B. Kellogg","1997","Daw Books","56"
"0886775744","The Book of Earth (Dragon Quartet)","Marjorie B. Kellogg","1995","Daw Books","67"
"0395272238","The Fellowship of the Ring (Lord of the Rings (Paperback))","J. R. R. Tolkien","1988","Houghton Mifflin","62"
"0380819007","Mendoza in Hollywood (A Novel of the Company, Book 3)","Kage Baker","2001","Eos","29"
"0380731800","Sky Coyote (A Novel of the Company, Book 2)","Kage Baker","2000","Eos","98"
"0142300608","Fire Bringer","David Clement-Davies","2002","Puffin Books","93"
"087951602X","Temporary Agency","Rachel Pollack","1995","Overlook Press","83"
"042518627X","Mister Posterior and the Genius Child","Emily Jenkins","2002","Berkley Publishing Group","33"
"0380731797","In the Garden of Iden (A Novel of the Company, Book 1)","Kage Baker","1998","Eos","52"
"0970851715","Secret","Mirika Mayo Cornelius","2002","Akirim Press","40"
"1557504644","First to Fight: An Inside View of the U.S. Marine Corps (Bluejacket Books)","Victor H. Krulak","1999","Naval Institute Press","75"
"081120958X","Selected Poems","William Carlos Williams","1985","New Directions Publishing Corporation","16"
"0534525075","Marriages and Families: Making Choices in a Diverse Society","Mary Ann Lamanna","1999","Thomson Learning","70"
"0553583891","Dream Island (Medieval Trilogy)","Josie Litton","2002","Bantam Books","30"
"0684849739","The BIBLE CODE","Michael Drosnin","1998","Touchstone","95"
"0312171838","Bachelor Brothers' Bed &amp; Breakfast","Bill Richardson","1997","St. Martin's Griffin","30"
"0688175716","Strange but True","John Searles","2004","William Morrow","74"
"0743467604","That's Amore","Carol Grace","2003","Pocket Star","83"
"0671042505","The Last Chance Cafe : A Novel","Linda Lael Miller","2002","Atria","15"
"0743205413","The Summer of My Greek Taverna : A Memoir","Tom Stone","2002","Simon &amp; Schuster","23"
"0399147853","Time and Chance","Sharon Kay Penman","2002","Putnam Publishing Group","62"
"0425162443","The Rapture of Canaan","Sheri Reynolds","1997","Berkley Publishing Group","88"
"0966482018","The Eleanor Roosevelt Girls","Bonnie Bluh","1999","Lyre-Bird Books","95"
"1400060052","Lucia, Lucia : A Novel","ADRIANA TRIGIANI","2003","Random House","30"
"0451181409","Simon Says","Gloria Murphy","1994","Signet Book","32"
"0060505559","To the Heart of the Nile : Lady Florence Baker and the Exploration of Central Africa","Pat Shipman","2004","William Morrow","65"
"0312104472","Dancing in the Dark","Donald Thomas","1994","St Martins Pr","75"
"1551667533","Recipes For Easy Living","Curtiss Ann Matlock","2003","Mira","48"
"0425183238","Mrs. Mike","Benedict Freedman","2002","Berkley Publishing Group","94"
"0553802240","The Secret Hour","LUANNE RICE","2003","Bantam","22"
"0373711646","Those Christmas Angels (Harlequin Superromance, 1164)","Debbie Macomber","2003","Harlequin","21"
"0345423291","What We Keep : A Novel (Ballantine Reader's Circle)","Elizabeth Berg","1999","Ballantine Books","75"
"0515132020","Heaven and Earth (Three Sisters Island Trilogy)","Nora Roberts","2003","Jove Books","32"
"0684864363","This is My Daughter: A Novel","Roxana Robinson","1999","Touchstone","19"
"0515131229","Dance upon the Air (Three Sisters Island Trilogy)","Nora Roberts","2003","Jove Books","16"
"0451192974","Murder Under Blue Skies","Willard Scott","2002","Onyx Books","77"
"0446679364","The Future Homemakers of America","Laurie Graham","2002","Warner Books","93"
"0345445732","Entering Normal (Ballantine Reader's Circle)","Anne D. Leclaire","2002","Ballantine Books","44"
"0553581430","Last Puzzle &amp; Testament (Puzzle Lady Mysteries (Paperback))","Parnell Hall","2001","Bantam Books","53"
"0451410157","Sweet Nothings","Catherine Anderson","2002","Onyx Books","17"
"0373441320","A Snowball's Chance/ A Christmas Carol","Nikki Rivers","2001","Harlequin","62"
"1551662906","Home To Eden","Dallas Schulze","1997","Mira","71"
"0373834748","Maitland Maternity Christmas: (3 Novels in 1)","Muriel Jenson","2001","Harlequin","81"
"0843943319","Christmas Pie","Emma Craig","1997","Leisure Books","42"
"1570613818","Book Lust: Recommended Reading for Every Mood, Moment, and Reason","Nancy Pearl","2003","Sasquatch Books","64"
"0743228022","Dirt Music : A Novel","Tim Winton","2002","Scribner","35"
"0385494149","Enduring Love","Ian McEwan","1999","Anchor Books/Doubleday","31"
"0312199368","The Next Step in the Dance : A Novel","Tim Gautreaux","1999","Picador","84"
"0312199430","One Thousand White Women : The Journals of May Dodd: A Novel","Jim Fergus","1999","St. Martin's Griffin","77"
"1570089957","Rebekah: Women of Genesis (Women of Genesis, 2)","Orson Scott Card","2001","Shadow Mountain","54"
"0452282101","The Debt: What America Owes to Blacks","Randall Robinson","2001","Plume Books","36"
"0060193689","Rule by Secrecy: The Hidden History That Connects the Trilateral Commission, the Freemasons, and the Great Pyramids","Jim Marrs","2000","HarperCollins Publishers","74"
"8432210900","La Aventura del Tocador de Senoras","Eduardo Mendoza","2001","Editorial Seix Barral","97"
"8472237443","Madame Bovary (Fabula)","Gustave Flaubert","2002","Tusquets","37"
"048627263X","Flatland: A Romance of Many Dimensions (Dover Thrift Editions)","Edwin A. Abbott","1992","Dover Publications","60"
"0486270610","The Gift of the Magi and Other Short Stories (Dover Thrift Editions)","O. Henry","1992","Dover Publications","12"
"0330330373","The Sculptress","Minette Walters","1995","Macmillan Pub Ltd","96"
"0671318403","The Legend That Was Earth","James P. Hogan","2001","Baen","100"
"0743440358","The Vorpal Blade","Colin Forbes","2002","Simon &amp; Schuster (Trade Division)","97"
"0571135390","Unbearable Lightness of Being","Milan Kundera","0","Faber Faber Inc","53"
"1557250219","Letters from Medjugorje","Wayne Weible","1991","Paraclete Press (MA)","84"
"0451183746","Road to Wellville","T. Coraghessan Boyle","1994","New Amer Library (Mm)","52"
"0316134317","The Family of Pascual Duarte","Camilo Jose Cela","1989","Little Brown &amp; Co","67"
"0789467747","The Secrets of Bach Flower Remedies","Jeremy Harwood","2000","Dorling Kindersley Publishing","67"
"0071408398","More Than a Pink Cadillac : Mary Kay, Inc.'s Nine Leadership Keys to Success","Jim Underwood","2002","McGraw-Hill","12"
"038079487X","What Looks Like Crazy On An Ordinary Day","Pearl Cleage","1998","Perennial","32"
"0684872153","Angela's Ashes (MMP) : A Memoir","Frank McCourt","1999","Scribner","34"
"0060926317","Mutant Message Down Under","Marlo Morgan","1995","Perennial","84"
"0961937904","Knights of the Whip: Stagecoach Days in Oregon","Gary Meier","1987","Gary &amp; Gloria Meier","98"
"0140179755","The Way of a Boy: A Memoir of Java","Ernest Hillen","1995","Penguin USA","68"
"0571152813","Birds of the Innocent Wood","Deirdre Madden","1989","Farrar Straus &amp; Giroux","63"
"0140622500","Lady Chatterley's Lover (Penguin Popular Classics)","D.H. Lawrence","1997","Penguin Books Ltd","71"
"9038802986","Grijze Wolven: Een zoektocht naar Turks extreem-rechts","Stella Braam","1997","Nijgh &amp; Van Ditmar","65"
"0007101953","At Ruby's","Frank DeLaney","2001","HarperCollins Publishers","66"
"1857238982","Snow White and the Seven Samurai","Tom Holt","0","Orbit Book Co","82"
"380062236X","Die externe Rechnungslegung der Kreditinstitute und Finanzdienstleistungsinstitute (Vahlens Handbücher der Wirtschafts- und Sozialwissenschaften)","Hartmut Bieg","1999","Vahlen","72"
"0312421273","The Corrections: A Novel","Jonathan Franzen","2002","Picador USA","12"
"0679454454","Sick Puppy","Carl Hiaasen","2000","Alfred A. Knopf","39"
"0743480562","CSI, Miami: Heat Wave","Max Allan Collins","2004","Pocket Star","69"
"0312986211","Tempting the Heiress","Barbara Pierce","2004","St. Martin's Paperbacks","75"
"0778320294","Mimosa Grove (Mira)","Dinah McCall","2004","Mira","32"
"0425196453","The Marriage Test","Betina Krahn","2004","Berkley Publishing Group","61"
"1575668572","The Dragon Lord's Daughters","Bertrice Small","2004","BRAVA","15"
"0821776126","Getting What You Want","Kathy Love","2004","Zebra Books","40"
"0821773429","Perfect Switch","Lisa Plumley","2004","Zebra Books","51"
"0060555882","What Memories Remain","Cait London","2004","Avon","91"
"0380811081","Again The Magic","Lisa Kleypas","2004","Avon","55"
"0373250592","The Thin Pink Line (Red Dress Ink)","Lauren Baratz-Logsted","2004","Red Dress Ink","51"
"0373285043","With Open Arms (Silhouette Single Title)","Nora Roberts","2004","Silhouette","29"
"0399147020","Blood Lure","Nevada Barr","2001","G. P. Putnam's Sons","87"
"0062512668","The Cube","Annie Gottlieb","1995","HarperSanFrancisco","96"
"0440241162","Nerd in Shining Armor","Vicki Lewis Thompson","2003","Dell Publishing Company","52"
"0439233844","Any Small Goodness: A Novel of the Barrio","Tony Johnston","2003","Scholastic Paperbacks","91"
